市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,URL,備考
042056,0000000001,宮城県,気仙沼市,気仙沼市まち・ひと・しごと交流プラザ,ケセンヌマシマチ・ヒト・シゴトコウリュウプラザ,,宮城県気仙沼市南町海岸１－１１,,38.905199,141.575355,月火水木金土日,09:00,21:00,12/29～1/3は終日利用不可。,"軽運動室　非営利1,000円/時間，営利3,000円/時間，音楽スタジオ　非営利300円/時間，営利900円/時間，和室　非営利200円/時間，営利600円/時間，研修室　非営利200円/時間，営利600円/時間　","軽運動室　非営利1,000円/時間，営利3,000円/時間，音楽スタジオ　非営利300円/時間，営利900円/時間，和室　非営利200円/時間，営利600円/時間，研修室　非営利200円/時間，営利600円/時間　",市民一人一人が主体的にまちを創造していく起点となる施設として，軽運動室，研修室，和室，音楽室，市民の起業を促すチャレンジショップ，コミュニティFM，観光遊覧船の案内所などがあり，海を眺めながら休憩できる癒しのスポットでもあります。,JR気仙沼駅から気仙沼案内所バス停まで路線バスで約５分,駐車スペース普通車28台・おもいやり駐車場1台,多目的トイレ有り;スロープ有り；エレベーター有り；手すり有り；点字ブロック有り,気仙沼地域開発(株),0226-25-8591,,https://www.pier7.info/,
042056,0000000002,宮城県,気仙沼市,鹿折金山資料館,シシオリキンザンシリョウカン,,宮城県気仙沼市上東側根14,,38.975298,141.559105,月水木金土日,10:00,16:00,12/29～1/3は終日利用不可。,無料,無料,平泉の黄金文化を支えたとも伝えられる鹿折金山。明治37年に採掘された「モンスターゴールド」は米国セントルイス万博博覧会に出展され，自然の金としては最大級であり，司馬遼太郎氏の「坂の上の雲」にも取り上げられています。資料館では，モンスターゴールドに対するセントルイス万博博覧会の大賞状や，当時の金鉱石，工具，文献などを展示し，金山の歴史を紹介しています。,JR気仙沼駅から鹿折金山バス停まで路線バスで約３０分,駐車スペース普通車５台,,鹿折金山資料館,0226-29-5008,,,
042056,0000000003,宮城県,気仙沼市,漁火パーク,イサリビパーク,,宮城県気仙沼市唐桑町北中98-18,,38.893773,141.648764,月火水金土日,11:00,20:00,水曜日の夜は休館,レストラン和室　会議・休憩のみに利用のとき1人につき3時間以内300円，3時間を超えるとき1時間につき100円,レストラン和室　会議・休憩のみに利用のとき1人につき3時間以内300円，3時間を超えるとき1時間につき100円,唐桑町早馬山の麓に位置し，県立自然公園の素晴らしい景勝地の観光スポット内にあり，トレッキング等の利用者の休憩機能や案内機能を兼ね備えた，太平洋が一望できる施設です。,JR気仙沼駅から巨釜半造入口バス停まで路線バスで約３０分,駐車スペース普通車55台，大型車９台，おもいやり駐車場２台,多目的トイレ有り,（株）五大実業,0226-32-4340,,,
042056,0000000004,宮城県,気仙沼市,亀山レストハウス,カメヤマレストハウス,,宮城県気仙沼市亀山２,,38.873055,141.617287,月火水木金土日,,,,亀山駐車場1台500円,亀山駐車場1台500円,大島亀山山頂近くに位置し，気仙沼市内や大島大橋，気仙沼湾横断橋，リアス海岸の大パノラマが望めます。また，夜には，気仙沼市内の夜景や漁火そして満天の星空を見ることができ，雄大な景色を眺めながらゆったりとした時間を過ごすことができます。,亀山中腹駐車場から徒歩で約20分,駐車スペース普通車43台，大型車３台，おもいやり駐車場2台,車椅子貸出有り；段差なし；階段なし,気仙沼市産業部観光課,0226-22-3438,533,,
042056,0000000005,宮城県,気仙沼市,唐桑半島ビジターセンター（津波体験館）,カラクワハントウビジターセンター,,宮城県気仙沼市唐桑町崎浜4-3,,38.862483,141.671896,月水木金土日,08:30,16:30,祝日の翌日は休館,津波体験館　一般：大人380円，高校生260円，小・中学生160円，団体：大人300円，高校生210円，小・中学生130円,津波体験館　一般：大人380円，高校生260円，小・中学生160円，団体：大人300円，高校生210円，小・中学生130円,唐桑半島の自然，唐桑地域の人々の暮らしや文化を伝える施設です。津波によって被害を受けた震災の様子や四季を彩る植物や地域ならではの珍しい動物，三陸復興国立公園の地形や鳴砂の説明など写真やパネルで展示しています。津波体験館は映像・音響・振動・送風等を組み合わせた全国初の津波疑似体験館であり，東日本大震災の映像に更新され，防災教育を重視した内容となっています。,JR気仙沼駅から国民宿舎前バス停まで路線バスで約45分,駐車スペース普通車60台，おもいやり駐車場1台,多目的トイレ有り；階段無し,唐桑町観光協会,0226-32-3029,,http://www.karakuwa.com/visiter,
042056,0000000006,宮城県,気仙沼市,道の駅「大谷海岸」,ミチノエキオオヤカイガン,,宮城県気仙沼市本吉町三島9,,38.814714,141.563107,月火水木金土日,09:00,18:00,,交流施設の営利利用に係る料金　その利用により得た売上額に100分の15を乗じて得た額の範囲内,交流施設の営利利用に係る料金　その利用により得た売上額に100分の15を乗じて得た額の範囲内,広い店内には気仙沼産の新鮮な野菜や海鮮，海産物により生産された商品，いけすには漁師さんから直接仕入れた鮮魚が並び「オール気仙沼」の物産品として気仙沼自慢の逸品が揃います。飲食スペースでは，地元の新鮮な海鮮をはじめとした料理や気仙沼でしか味わえない限定メニューもあり，絶品な新鮮食材を堪能できます。施設内には旬のおすすめ観光スポットを紹介する観光情報コーナーや巨大な水槽で飼育していたマンボウがプロジェクションマッピングで復活し，気仙沼の豊かな自然を肌で感じることかできます。さらに，大谷海水浴場が目の前にあり太平洋を一望することができます。,ＪＲ大谷海岸駅を併設（ＢＲＴ）,駐車スペース普通車71台，大型車8台，おもいやり駐車場4台，EV充電対応駐車場1台,多目的トイレ有り;手すり有り；点字ブロック有り,（株）道の駅大谷海岸,0226-44-3180,,https://mitinoekiooya.jp/,
042056,0000000007,宮城県,気仙沼市,海の市（シャークミュージアム）,ウミノイチ,,宮城県気仙沼市魚市場前7-13,,38.900166,141.579513,月火水木金土日,09:00,18:00,"不定休（7～12月無休）※要確認
10月～4月は9:00～17:00","シャークミュージアム：大人500円・小学生200円
氷の水族館：大人500円・小学生300円
２館共通券：大人900円・小学生400円","シャークミュージアム：大人（中学生以上）500円、小学生200円
氷の水族館：大人（中学生以上）500円、小学生300円
２館共通券：大人（中学生以上）900円、小学生400円
団体割引（10名以上）・障がい者割引：10％引き","気仙沼市魚市場に隣接し、毎朝水揚げされる新鮮な魚介をはじめ気仙沼ならではの多彩な海の幸が勢ぞろい。土産品、グルメスポット、シャークミュージアム、氷の水族館。気仙沼の魅力をまるごとお楽しみください。
【シャークミュージアム】
サメの生態だけでなく、気仙沼の人々が育んできた海との絆を学ぶ体感型ミュージアムです。
 東日本大震災という大きな出来事を乗り越えるため奮闘する地元の皆様の姿を描くアーカイブ展示。そして、気仙沼と深いつながりをもつ「サメ」をキーワードにした体感型展示。ここにしかない驚きや発見が満載です。
 【氷の博物館】
世界有数の漁場である三陸の海を間近に望む気仙沼。水揚げした魚介の流通に欠かせないものが「氷」。
気仙沼には港町ならではの製氷技術が培われてきました。氷屋による-20℃の氷の世界をぜひお楽しみください。(防寒着無料貸し出し有）","JR気仙沼駅から
市内循環バス「海の市」下車０分
BRT南気仙沼駅から徒歩約１０分","普通車100台（他、魚市場駐車場も駐車可）
大型バス８台無料
身障者用駐車場有り",多目的トイレ有り;スロープ有り；エレベーター有り；手すり有り；点字ブロック有り（一部）;車いす貸出有り,㈱気仙沼産業センター,0226-24-5755,,http://www.uminoichi.com/museum/index.html,水産課
042056,0000000008,宮城県,気仙沼市,気仙沼市東日本大震災遺構・伝承館,ケセンヌマシヒガシニホンダイシンサイイコウ・デンショウカン,Ruins of the Great East Japan Earthquake Kesennuma City Memorial Museum,宮城県気仙沼市波路上瀬向9-1,,38.831193,141.591194,火水木金土日,09:30,17:00,"（休館日）
毎週月曜日（月曜日が祝日の場合は開館し、翌日休館），祝日の翌日(土日、GW期間を除く），年末年始（12月29日～1月4日）
（特別開館日）※曜日・祝日に限らず開館する日
毎月11日，9月1日（防災の日），11月5日（世界津波の日）
（開館時間）
10月～3月は16時閉館",入館料　個人：一般600円，高校生400円，小・中学校300円　団体 (30名以上)：一般500円，高校生300円，小・中学校200円　,"入館料　年間パスポート：一般1,800円，高校生1,200円，小・中学校900円
体験プログラム(オプションメニュー・要予約)　語り部ガイド：学校教育活動3,000円　一般団体6,000円，防災セミナー：学校教育活動8,000円　一般団体10,000円，振り返りワークショップ：学校教育活動6,000円　一般団体：10,000円","将来にわたり震災の記憶と教訓を伝え，警鐘を鳴らし続ける『目に見える証』として，津波で４階まで被災した気仙沼向洋高校旧校舎を「震災遺構」として保存し，展示や研修会場を備える「震災伝承館」と併せて公開しています。
被災時の映像から実際の被災物を目の当たりにし，振り返りを行うことで，防災・減災への思いを深く感じていただける内容・構成となっています。","【仙台方面から】
三陸沿岸道路「大谷海岸IC」から国道45号線を北上し，岩井崎入口看板を右折して約2分
【岩手方面から】
国道45号線を南下し，岩井崎入口看板を左折して約2分",第１駐車場（無料）：普通車56台，身障者用2台　第２駐車場（無料）：中型・大型バス17台，普通車55台,多目的トイレ有り；エレベーター有り;車いす貸出有り,気仙沼市東日本大震災遺構・伝承館,0226-28-9671 ,,https://kesennuma-memorial.jp/,危機管理課
042056,0000000009,宮城県,気仙沼市,気仙沼大島ウェルカム・ターミナル,ケセンヌマオオシマウェルカム・ターミナル,,宮城県気仙沼市浦の浜151-2外 ,,38.865319,141.614109,月火水木金土日,09:00,17:00,"10月～3月はインフォメーション等一部16:00まで
",無料（占用利用の場合は1時間当たり，多目的スペース：非営利25円／㎡，営利75円／㎡，テラス：非営利25円／㎡，営利：75円／㎡，屋外共用部分（歩道など）：非営利応相談，営利50円／㎡）,無料（占用利用の場合は1時間当たり，多目的スペース：非営利25円／㎡，営利75円／㎡，テラス：非営利25円／㎡，営利：75円／㎡，屋外共用部分（歩道など）：非営利応相談，営利50円／㎡）,大島の玄関口である浦の浜湾に位置する「気仙沼大島ウェルカム・ターミナル」は、旬の海産物や農産物が並ぶ販売スペースや、浦の浜湾を眺めながら寛げるテラス席、イベントなどにも利用できる多目的スペースなどを備えています。隣には飲食店や鮮魚店など、５店舗が集まる民間商業施設野杜海(のどか)があり、気仙沼湾を眺めながらお食事などを楽しむことができます。,三陸自動車道浦島大島ICから車で約５分,駐車スペース約100台,多目的トイレ有り,気仙沼大島ウェルカム・ターミナル,0226-28-9253,,https://oshima-welcome.jp/,産業戦略課
042056,0000000010,宮城県,気仙沼市,大谷鉱山歴史資料館,オオヤコウザンレキシシリョウカン,,宮城県気仙沼市本吉町高瀬ケ森58-16,,38.814633,141.527408,毎週水曜日を除く（祝日等を除く）,10:00,16:00,年末年始（12月29日～1月3日）は休館日。この他にも臨時休館日があります。,無料,,金鉱山を偲ぶエリアとして，大谷鉱山の歴史を地域・近隣市町村の子供たちに学習の場としての機会を与えるとともに，大谷鉱山資料収集保存会・地域振興会を中心とした地域住民がこの歴史資料館を拠点に金鉱山を偲ぶエリアとして積極的にPRし，気仙沼市の観光スポットのひとつとして位置づけ，地域の活性化を図ることを目的としています。,大谷海岸IC～R45（5㎞）～大谷鉱山歴史資料館,駐車可（砂利）,-,（株）道の駅大谷海岸,0226-44-3180,,,本吉総合支所産業建設課
